#{"t_start": 1641332267.081127, "env_id": null}
r,l,t
-729.054228,118,8.534195
-872.575429,125,8.643796
-847.365044,83,8.785398
-753.289376,74,8.843057
-804.813005,82,8.915218
-885.694148,104,9.007246
-833.535477,102,9.129284
-772.732162,92,9.212306
-770.70932,92,9.294247
-881.153752,151,9.465797
-550.975749,51,9.550207
-565.328438,46,9.609949
-587.831375,47,9.687424
-527.318492,48,9.767954
-573.048127,47,9.890616
-528.750082,52,9.954717
-594.843681,48,10.005786
-610.204265,44,10.058045
-616.724757,40,10.106848
-570.557796,48,10.166525
-603.318642,48,10.225277
-499.582439,49,10.282551
-507.769606,51,10.344935
-663.028319,47,10.397737
-607.947499,53,10.458795
-669.65033,46,10.51823
-560.493013,45,10.591682
-646.458449,46,10.672209
-599.607073,43,10.732272
-508.609346,49,10.818952
-670.744424,49,36.277579
-634.635076,41,36.349057
-604.201966,46,36.432266
-610.085903,46,36.51616
-646.30532,53,36.711766
-604.570832,50,36.809347
-612.385617,45,36.940108
-616.748178,47,37.032695
-644.303741,47,37.133814
-653.47694,44,37.187868
-635.62501,48,37.245708
-636.106861,49,37.308015
-635.084248,43,37.370219
-652.557751,43,37.425721
-553.04414,50,37.491223
-628.078169,49,37.548471
-595.054916,52,37.610053
-609.000669,48,37.671751
-647.604455,47,37.726759
-628.08453,45,37.773171
-622.214092,51,37.821698
-663.761177,50,65.350137
-620.332339,53,65.404474
-592.990107,57,65.45925
-631.619593,45,65.504502
-640.407673,50,65.551603
-540.442759,51,65.60175
-536.566825,57,65.653322
-628.355259,50,65.69934
-665.124372,50,65.745763
-473.749133,60,65.801537
-602.247908,52,65.84911
-500.804981,59,65.901594
-507.094563,57,65.956052
-461.09648,56,66.009164
-560.234991,49,66.055866
-625.557834,53,66.105491
-589.769885,48,66.152057
-431.106916,59,66.210283
-603.854031,54,66.259629
-674.3702,64,92.670464
-546.449119,58,92.734628
-521.625647,62,92.796552
-697.752011,59,92.851641
-637.653861,54,92.910476
-661.570767,57,92.975296
-546.663616,50,93.038412
-442.753058,54,93.128494
-412.114004,55,93.203348
-510.676439,55,93.283499
-678.120877,55,93.372737
-574.898431,55,93.452592
-661.29677,59,93.525492
-582.713591,57,93.589871
-608.719116,52,93.802362
-617.923719,65,93.905601
-520.712315,55,93.975967
-583.216056,56,94.034124
-489.708933,66,120.758043
-562.88542,60,120.81507
-507.859547,59,120.872297
-583.763965,43,120.914645
-629.616526,45,120.962588
-588.508163,53,121.012784
-526.232059,44,121.057418
-626.966318,43,121.1003
-630.856736,44,121.143278
-434.051506,55,121.195482
-608.231179,48,121.240479
-521.035943,58,121.293798
-525.693077,51,121.344906
-671.720013,47,121.389545
-619.989329,47,121.434281
-637.793471,39,121.474772
-541.991214,49,121.522615
-544.865797,56,121.573518
-511.823133,67,121.631821
-584.522223,62,150.239647
-621.495157,43,150.288091
-637.011235,51,150.339228
-637.886484,50,150.387577
-498.846522,55,150.437528
-433.526151,50,150.486392
-534.458998,50,150.534717
-503.732517,48,150.581816
-643.123645,45,150.625393
-573.504396,48,150.67423
-567.823899,51,150.722705
-639.22681,47,150.768293
-625.813962,46,150.812858
-415.099356,52,150.863793
-573.841344,51,150.912027
-406.172451,57,150.967665
-468.614275,54,151.017771
-455.726554,55,151.068468
-647.508148,42,151.108724
-620.922401,45,151.152963
-549.612382,77,177.091141
-294.57136,200,177.259619
-326.834345,200,177.424769
-503.095974,200,177.590631
-1140.905772,160,177.720842
-1028.43109,145,177.843759
-753.70143,90,203.352333
-607.44696,61,203.40811
-559.782913,55,203.458677
-546.604535,59,203.514714
-555.515769,58,203.568736
-580.602041,62,203.626213
-631.624561,79,203.6997
-532.026071,63,203.761868
-560.194876,89,203.840812
-569.218116,69,203.904153
-549.497256,57,203.959899
-558.277246,70,204.025794
-566.313804,68,204.08834
-599.98236,59,204.141993
-436.604653,85,204.223994
-553.462601,71,232.246799
-618.030389,54,232.29755
-663.840828,51,232.345835
-581.212862,59,232.400711
-666.124159,51,232.451674
-527.561132,57,232.504558
-687.659327,51,232.551962
-655.908547,40,232.592045
-639.575801,54,232.644114
-677.325026,51,232.699492
-602.103978,59,232.754266
-680.993679,50,232.801139
-658.468136,49,232.85047
-675.537854,52,232.899785
-668.554353,46,232.948346
-601.475037,57,233.000271
-673.99568,53,233.051629
-559.590358,55,233.102169
-661.868489,50,233.149753
-684.180841,52,257.733095
-620.64141,35,257.770337
-631.16848,38,257.808242
-648.903809,47,257.84849
-632.814927,39,257.890595
-618.178298,45,257.939284
-638.223252,40,257.979061
-642.129816,44,258.015819
-625.708844,37,258.058422
-616.173632,35,258.09216
-631.406046,39,258.136428
-627.293887,38,258.173531
-634.752575,45,258.225528
-636.742208,41,258.264543
-623.041443,37,258.30892
-637.896629,41,258.348258
-643.595196,43,258.387593
-642.144403,41,258.429016
-633.24706,41,258.473932
-621.91763,36,258.508958
-621.364235,36,258.542542
-640.304403,43,258.590646
-635.874487,39,258.629187
-627.179754,37,258.663375
-645.976568,42,258.71541
-537.012073,54,283.269159
-424.969303,55,283.321925
-526.422043,61,283.375504
-542.374233,53,283.424516
-522.071633,59,283.479077
-470.839537,58,283.532074
-562.820349,58,283.585155
-673.717052,54,283.635118
-598.490229,58,283.691738
-482.765836,56,283.749544
-433.471889,63,283.806452
-527.226118,54,283.856276
-587.54463,47,283.902975
-553.803358,52,283.956722
-505.656923,51,284.005751
-514.820376,54,284.057387
-415.562696,57,284.111255
-617.539705,49,284.158151
-485.434345,54,308.706711
-639.113405,41,308.750509
-641.580137,42,308.795105
-604.357366,47,308.839134
-561.829219,49,308.886033
-561.839806,51,308.936051
-631.514811,53,308.988731
-502.055944,51,309.037156
-565.179317,47,309.082621
-510.309193,51,309.130085
-589.038515,45,309.174747
-576.314938,49,309.223896
-631.966249,45,309.268393
-661.332362,45,309.311603
-535.772365,52,309.361042
-611.219029,52,309.408871
-587.661257,44,309.451621
-513.25821,49,309.497814
-536.943124,54,309.550572
-480.088733,50,309.598408
-592.887673,53,334.113879
-662.554942,42,334.155029
-674.464335,52,334.211147
-648.34491,62,334.26934
-699.398293,51,334.317545
-683.0531,53,334.368567
-675.400395,50,334.415902
-671.662257,47,334.461879
-679.467213,50,334.510448
-684.1804,64,334.570109
-588.536546,54,334.622995
-678.717883,49,334.671043
-696.198414,48,334.721906
-616.953389,54,334.776741
-595.355611,60,334.832832
-631.126827,48,334.88042
-681.680321,55,334.935549
-689.109342,50,334.983093
-690.997825,56,335.035562
-817.663401,76,359.7833
-572.58285,48,359.829216
-634.419229,46,359.874844
-609.586686,48,359.923565
-661.06503,49,359.972332
-631.751299,40,360.012127
-662.010223,44,360.056273
-481.168851,55,360.107791
-652.408572,44,360.149569
-639.050895,54,360.206034
-617.193041,44,360.248566
-633.392914,46,360.293599
-633.102709,47,360.3391
-612.899141,46,360.384089
-601.490555,45,360.428334
-634.064746,45,360.473283
-640.454917,49,360.518726
-654.121787,50,360.565686
-591.421442,44,360.607956
-642.134274,48,360.653829
-617.85009,36,360.693956
-633.179291,45,385.305499
-732.973995,67,385.366622
-704.488416,60,385.424137
-692.066613,58,385.479193
-695.4581,57,385.532578
-652.387709,46,385.577986
-699.920155,57,385.632796
-644.472561,66,385.699984
-714.916573,63,385.762325
-720.730061,61,385.818883
-698.580577,59,385.873616
-656.785389,47,385.918378
-722.287001,62,385.979098
-688.482962,63,386.038099
-713.485419,75,386.106304
-717.479635,65,386.16643
-713.560015,66,386.232172
-653.441649,54,411.018904
-630.738773,42,411.062212
-627.042698,47,411.105832
-644.454517,48,411.152163
-618.366631,43,411.201845
-636.130896,40,411.245002
-665.066456,50,411.293711
-670.891376,55,411.345879
-644.416611,45,411.396423
-634.480735,45,411.446294
-650.791551,44,411.489606
-609.403604,45,411.534833
-653.679352,46,411.577576
-654.473365,47,411.623221
-625.252945,40,411.664338
-630.882436,42,411.710137
-624.456901,40,411.751599
-663.885822,46,411.798544
-646.321076,43,411.8403
-642.988025,41,411.882126
-658.892426,49,411.929884
-669.923067,46,411.978524
-679.363367,51,436.572902
-556.193747,65,436.632324
-411.460366,68,436.699988
-630.979435,58,436.761767
-529.735173,59,436.820823
-526.471347,68,436.885161
-455.774743,66,436.956723
-512.029354,73,437.027915
-507.61198,65,437.087909
-433.909659,72,437.157484
-511.426796,75,437.234012
-522.15919,62,437.293958
-534.048386,59,437.349013
-508.462363,58,437.405111
-487.428153,70,437.468803
-527.150946,56,462.628281
-522.263076,60,462.688557
-516.042131,62,462.753828
-529.745418,49,462.804337
-558.699371,56,462.859743
-541.805415,50,462.908928
-559.016845,46,462.958506
-530.196622,76,463.026002
-574.244499,54,463.078279
-560.451917,54,463.130091
-523.696712,59,463.187722
-551.016056,49,463.241603
-612.428233,48,463.296328
-575.755062,60,463.351359
-564.225785,50,463.401135
-533.862291,52,463.450943
-526.78145,53,463.502204
-562.541645,56,463.554455
-632.954107,50,463.603081
-609.943798,62,488.511144
-719.237039,63,488.571673
-657.24334,45,488.614705
-658.315629,46,488.660231
-636.915474,45,488.708843
-559.294035,59,488.766596
-684.366861,68,488.828663
-702.501093,58,488.88412
-643.556776,47,488.933548
-535.373413,62,488.992278
-582.05591,61,489.048547
-675.310182,66,489.107022
-648.194095,56,489.160425
-656.592406,50,489.215551
-736.90594,64,489.274465
-511.844668,63,489.331681
-570.991247,60,489.386263
-670.519853,47,513.922195
-710.666961,59,513.982374
-605.53633,53,514.033627
-580.610023,56,514.088752
-588.633011,57,514.151853
-578.850242,59,514.220124
-516.134783,67,514.283598
-662.896365,56,514.338444
-620.226916,64,514.400226
-704.955709,58,514.457385
-619.556095,58,514.512756
-669.610058,54,514.565273
-586.29743,58,514.621351
-592.212309,62,514.683664
-543.922579,56,514.741957
-527.881992,60,514.801016
-592.518029,55,514.854037
-643.08012,56,514.907613
-555.364806,48,539.44059
-598.154895,50,539.489412
-542.267298,52,539.539751
-598.166574,51,539.590056
-559.460123,53,539.640034
-538.115722,52,539.691071
-410.182937,54,539.746411
-592.089045,51,539.795508
-494.252304,53,539.846489
-502.833091,49,539.893111
-581.737222,44,539.941647
-410.91375,58,539.995682
-576.317498,49,540.042905
-555.388076,51,540.089683
-582.185977,50,540.13702
-520.780139,59,540.194013
-592.950213,46,540.243298
-547.757787,48,540.290731
-460.021055,56,540.343355
-620.277491,67,565.017142
-766.445559,63,565.076178
-562.344115,79,565.146017
-513.85162,74,565.22725
-711.867597,88,565.305815
-527.714564,72,565.372208
300.55044,35,565.405833
-674.97448,84,565.481511
-540.959721,72,565.548622
-726.383411,88,565.626434
-650.049878,85,565.711265
-551.038206,72,565.779386
-464.173392,68,565.842673
-538.452994,75,565.909863
-586.28642,69,590.552528
-653.965416,46,590.600543
-594.468221,55,590.652214
-653.142595,49,590.704452
-660.776644,49,590.75494
-618.599549,49,590.80667
-572.599565,55,590.860231
-590.335503,49,590.907934
-575.243314,49,590.959489
-646.799617,51,591.007853
-607.685197,50,591.053292
-634.300346,49,591.100662
-656.448366,53,591.149551
-594.606555,48,591.206783
-640.515936,49,591.257451
-670.226664,51,591.306415
-600.271689,50,591.354108
-593.83926,58,591.408159
-606.341729,45,591.453373
-628.404296,59,616.160168
-683.050174,47,616.209701
-672.842573,47,616.259559
-664.680257,42,616.30162
-691.427352,55,616.354155
-661.362348,44,616.398163
-683.873593,57,616.453061
-659.948252,42,616.493914
-551.540759,62,616.551423
-685.171994,51,616.599465
-675.081767,49,616.647971
-685.132028,49,616.699964
-678.231334,51,616.748675
-610.041456,54,616.801635
-563.855382,56,616.860416
-685.518669,51,616.911069
-690.221651,56,616.984964
-685.764768,52,617.04254
-656.205348,41,617.085879
-651.868905,55,617.137914
-642.101636,58,641.707109
-607.556801,57,641.762019
-606.356074,60,641.820035
-630.815388,54,641.875648
-550.855789,66,641.942593
-657.02697,54,642.009424
-578.725557,61,642.068254
-551.937734,61,642.125638
-614.55586,64,642.188102
-588.952056,60,642.24784
-636.768042,58,642.30418
-668.559821,56,642.356867
-583.935803,54,642.409876
-580.567304,59,642.465029
-677.795842,55,642.519803
-590.387809,59,642.576163
-499.934962,69,642.638845
-435.672913,70,667.374663
-691.305548,60,667.432697
-522.875372,56,667.487227
-611.566474,40,667.528319
-616.073457,57,667.581884
-621.319494,63,667.639647
-514.191371,56,667.699845
-458.899983,58,667.756197
-509.26242,60,667.813644
-553.939579,52,667.866441
-633.032499,44,667.910895
-646.996882,57,667.970262
-630.33117,42,668.012686
-639.740649,38,668.052856
-558.609535,54,668.104975
-642.557735,39,668.143573
-657.727389,43,668.18997
-519.007605,56,668.249044
-607.127366,42,668.29063
-715.279555,51,694.241999
-486.615516,67,694.30628
-498.903413,67,694.371718
-527.44131,66,694.432892
-566.915365,74,694.506621
-729.060439,79,694.58136
-497.572928,66,694.645283
-490.531397,69,694.71553
-652.438052,45,694.76236
-500.557192,63,694.820252
-469.92497,70,694.89506
-682.187571,78,694.971334
-593.350412,72,695.039188
-597.59456,79,695.112152
-438.979094,79,720.63787
-656.15177,47,720.685888
-505.173296,55,720.742633
-581.268511,54,720.79329
-608.479185,50,720.841937
-634.862813,46,720.887182
-659.383415,46,720.935435
-643.709708,48,720.980912
-668.308248,55,721.033693
-677.647825,54,721.083872
-610.012682,46,721.129084
-552.042018,51,721.180239
-590.267053,49,721.234129
-578.453431,49,721.282943
-632.965202,52,721.331247
-593.663008,46,721.374953
-595.505519,49,721.424647
-645.927395,48,721.471966
-553.993637,58,721.526246
-621.226194,53,721.577737
-583.506635,54,748.989919
-665.811184,46,749.039537
-524.511527,51,749.091227
-633.248315,52,749.14306
-670.287107,50,749.194542
-672.536746,51,749.256293
-657.884809,48,749.31805
-569.596622,54,749.390645
-632.827662,49,749.46122
-649.132528,45,749.522458
-606.461118,55,749.592254
-658.95567,40,749.634429
-655.628981,44,749.681122
-648.3635,46,749.735097
-604.887587,47,749.79525
-548.68681,50,749.862722
-660.935652,45,749.90914
-560.818303,52,749.96922
-600.54523,48,750.02265
-560.521791,48,750.078913
-655.106142,44,750.126392
-627.315744,50,779.995924
-654.622752,44,780.045382
-639.394402,44,780.103911
-534.516739,46,780.155499
-397.486213,61,780.223837
-575.305219,44,780.269376
-617.473237,46,780.320133
-588.417089,49,780.37151
-614.346514,43,780.410238
-579.55921,45,780.455759
-647.203856,45,780.495085
-539.03529,51,780.538853
-563.80448,47,780.578763
-638.639322,42,780.614924
-527.714545,49,780.656673
-539.199813,64,780.711202
-590.358972,53,780.753498
-652.717732,44,780.789773
-630.343727,45,780.827807
-531.125648,45,780.867502
-646.152494,44,780.905392
-693.005694,71,823.821021
-660.135459,111,824.169406
-654.996316,92,824.690656
-643.226081,107,825.110291
-688.925039,80,825.183633
-684.109041,54,825.247168
-557.759914,94,825.328834
-620.866001,92,825.404345
-648.786977,76,825.467321
-604.837814,52,825.510913
-614.978767,97,825.631152
-665.332476,54,825.774051
-457.87009,98,863.652771
-565.850282,65,863.779377
-699.319073,51,863.871799
-460.551689,69,863.987787
-565.547248,58,864.409143
-401.806208,71,864.927527
-391.021984,73,865.223481
-565.911227,71,865.421666
-592.427124,54,865.506165
-445.146992,67,865.649797
-494.760772,64,865.786816
-636.50063,55,865.858205
-547.123009,66,865.924735
-534.943813,69,865.990591
-498.073068,77,866.059587
-701.320409,113,898.201553
-637.010016,45,898.275355
-648.918259,41,898.323538
-650.068734,100,898.445665
-535.515857,89,898.549194
-640.195697,38,898.606601
-647.488786,56,898.689426
-643.883801,42,898.755863
-608.48656,70,898.843731
-560.706831,77,898.96828
-595.472865,74,899.078078
-623.037351,56,899.160075
-736.416313,80,899.292101
-583.883718,70,899.396297
-642.778175,39,899.447641
-664.134835,78,933.871378
-483.17755,49,933.928621
-633.86831,42,933.975968
-518.900882,45,934.026109
-445.815706,55,934.085988
-589.582613,44,934.132344
-536.427224,51,934.184511
-564.588617,46,934.237019
-580.431839,48,934.292042
-543.573017,50,934.345
-621.70629,40,934.39059
-500.116364,50,934.44649
-653.104184,46,934.494607
-493.904583,48,934.550437
-613.937444,46,934.59533
-435.844468,54,934.667748
-415.866335,51,934.728365
-588.467901,48,934.780679
-488.750939,48,934.837332
-459.471185,54,934.895649
-679.47211,51,965.992628
-628.606799,62,966.060635
-653.978183,57,966.121593
